IdEntidadResidencia;IdEntidadOcurrencia;Entidad;PIBPromedio2003-2019
1;1;Aguascalientes;169193.62
2;2;Baja California;473478.5296
3;3;Baja California Sur;116528.3219
4;4;Campeche;775339.6836
5;5;Coahuila de Zaragoza;520915.6779
6;6;Colima;86231.64041
7;7;Chiapas;266679.1189
8;8;Chihuahua;460120.0385
9;9;Ciudad de México;2610768.977
10;10;Durango;178087.8372
11;11;Guanajuato;564294.3352
12;12;Guerrero;214973.7123
13;13;Hidalgo;225184.3146
14;14;Jalisco;991780.2439
15;15;México;1304994.541
16;16;Michoacán de Ocampo;354025.699
17;17;Morelos;179134.4778
18;18;Nayarit;102144.3222
19;19;Nuevo León;1086927.152
20;20;Oaxaca;235055.0508
21;21;Puebla;497807.2164
22;22;Querétaro de Arteaga;310862.7682
23;23;Quintana Roo;214755.8413
24;24;San Luis Potosí;293979.4089
25;25;Sinaloa;329446.7302
26;26;Sonora;480329.2408
27;27;Tabasco;490384.8535
28;28;Tamaulipas;465591.141
29;29;Tlaxcala;88741.61965
30;30;Veracruz de Ignacio de la Llave;731701.7678
31;31;Yucatán;210067.5619
32;32;Zacatecas;136740.1379